//Quantitative values
36	//Makespan
35	//Mission completion time hauler 1
36	//Mission completion time hauler 2
33	//Application execution time (in millisecond)
//Path to the final points
0,[6,4],[8,12]
1,[6,5],[8,11]
2,[6,6],[8,10]
3,[7,6],[8,9]
4,[7,7],[9,9]
5,[7,8],[10,9]
6,[7,9],[9,9]
7,[7,9],[8,9]
8,[8,9],[7,9]
9,[9,9],[6,9]
10,[10,9],[6,8]
11,[9,9],[6,9]
12,[8,9],[7,9]
13,[7,9],[8,9]
14,[6,9],[9,9]
15,[6,8],[10,9]
16,[5,8],[9,9]
17,[5,9],[8,9]
18,[5,10],[7,9]
19,[5,11],[6,9]
20,[5,12],[6,8]
21,[5,11],[6,9]
22,[5,10],[7,9]
23,[5,9],[8,9]
24,[5,8],[9,9]
25,[6,8],[10,9]
26,[5,8],[9,9]
27,[5,9],[8,9]
28,[5,10],[7,9]
29,[5,11],[6,9]
30,[5,12],[5,9]
31,[5,11],[5,8]
32,[5,10],[4,8]
33,[5,9],[4,7]
34,[5,8],[4,6]
35,[6,8],[4,5]
36,[6,8],[4,4]
