//Quantitative values
113	//Makespan
83	//Mission completion time hauler 1
79	//Mission completion time hauler 2
113	//Mission completion time hauler 3
101	//Application execution time (in millisecond)
//Path to the final points
0,[1,11],[6,2],[12,9]
1,[1,10],[6,3],[11,9]
2,[1,9],[6,4],[10,9]
3,[1,8],[6,3],[9,9]
4,[2,8],[6,2],[8,9]
5,[2,7],[6,1],[7,9]
6,[2,6],[7,1],[7,8]
7,[2,5],[8,1],[7,7]
8,[2,4],[9,1],[7,6]
9,[2,3],[10,1],[7,5]
10,[3,3],[11,1],[6,5]
11,[4,3],[11,2],[6,4]
12,[5,3],[11,3],[6,5]
13,[6,3],[12,3],[7,5]
14,[7,3],[11,3],[7,6]
15,[8,3],[11,2],[7,7]
16,[9,3],[11,1],[6,7]
17,[10,3],[10,1],[5,7]
18,[11,3],[11,1],[4,7]
19,[12,3],[11,2],[3,7]
20,[11,3],[11,2],[2,7]
21,[11,2],[11,3],[2,8]
22,[11,1],[12,3],[2,7]
23,[10,1],[11,3],[2,6]
24,[9,1],[10,3],[2,5]
25,[8,1],[9,3],[2,4]
26,[7,1],[8,3],[2,5]
27,[6,1],[7,3],[2,6]
28,[6,2],[7,4],[2,7]
29,[6,3],[7,5],[2,8]
30,[6,4],[7,6],[2,9]
31,[5,4],[7,5],[3,9]
32,[4,4],[7,4],[4,9]
33,[3,4],[7,3],[5,9]
34,[2,4],[8,3],[6,9]
35,[1,4],[9,3],[7,9]
36,[1,3],[10,3],[8,9]
37,[2,3],[11,3],[9,9]
38,[3,3],[12,3],[8,9]
39,[4,3],[11,3],[7,9]
40,[5,3],[11,2],[6,9]
41,[6,3],[11,1],[5,9]
42,[7,3],[10,1],[4,9]
43,[8,3],[9,1],[3,9]
44,[9,3],[8,1],[2,9]
45,[10,3],[7,1],[2,8]
46,[11,3],[6,1],[2,7]
47,[12,3],[6,2],[2,6]
48,[11,3],[6,3],[2,5]
49,[10,3],[6,4],[1,5]
50,[9,3],[6,3],[1,4]
51,[8,3],[6,2],[1,5]
52,[7,3],[6,1],[2,5]
53,[7,4],[7,1],[2,6]
54,[7,5],[8,1],[2,7]
55,[7,6],[9,1],[2,8]
56,[7,5],[10,1],[2,7]
57,[7,4],[9,1],[2,6]
58,[7,3],[8,1],[2,5]
59,[8,3],[7,1],[2,4]
60,[9,3],[6,1],[2,3]
61,[10,3],[5,1],[2,2]
62,[11,3],[4,1],[2,1]
63,[12,3],[4,1],[3,1]
64,[11,3],[3,1],[4,1]
65,[11,2],[2,1],[5,1]
66,[11,1],[2,2],[6,1]
67,[10,1],[2,3],[7,1]
68,[11,1],[2,4],[8,1]
69,[11,2],[2,5],[9,1]
70,[11,3],[2,6],[10,1]
71,[12,3],[2,7],[9,1]
72,[11,3],[2,8],[8,1]
73,[10,3],[2,7],[7,1]
74,[9,3],[3,7],[6,1]
75,[8,3],[4,7],[5,1]
76,[7,3],[5,7],[4,1]
77,[6,3],[6,7],[3,1]
78,[5,3],[7,7],[2,1]
79,[4,3],[7,6],[2,2]
80,[3,3],[7,6],[2,3]
81,[2,3],[7,6],[2,4]
82,[1,3],[7,6],[2,5]
83,[1,4],[7,6],[2,6]
84,[1,4],[7,6],[2,7]
85,[1,4],[7,6],[2,8]
86,[1,4],[7,6],[2,7]
87,[1,4],[7,6],[2,6]
88,[1,4],[7,6],[2,5]
89,[1,4],[7,6],[2,4]
90,[1,4],[7,6],[2,5]
91,[1,4],[7,6],[2,6]
92,[1,4],[7,6],[2,7]
93,[1,4],[7,6],[2,8]
94,[1,4],[7,6],[2,9]
95,[1,4],[7,6],[3,9]
96,[1,4],[7,6],[4,9]
97,[1,4],[7,6],[5,9]
98,[1,4],[7,6],[6,9]
99,[1,4],[7,6],[7,9]
100,[1,4],[7,6],[8,9]
101,[1,4],[7,6],[9,9]
102,[1,4],[7,6],[8,9]
103,[1,4],[7,6],[7,9]
104,[1,4],[7,6],[6,9]
105,[1,4],[7,6],[5,9]
106,[1,4],[7,6],[4,9]
107,[1,4],[7,6],[3,9]
108,[1,4],[7,6],[2,9]
109,[1,4],[7,6],[2,8]
110,[1,4],[7,6],[2,7]
111,[1,4],[7,6],[2,6]
112,[1,4],[7,6],[2,5]
113,[1,4],[7,6],[2,4]
