//Quantitative values
38	//Makespan
35	//Mission completion time hauler 1
38	//Mission completion time hauler 2
22	//Application execution time (in millisecond)
//Path to the final points
0,[8,3],[4,3]
1,[8,4],[4,4]
2,[8,5],[4,5]
3,[8,6],[4,6]
4,[9,6],[4,7]
5,[9,7],[4,8]
6,[9,8],[4,9]
7,[9,9],[4,10]
8,[9,10],[5,10]
9,[10,10],[6,10]
10,[11,10],[7,10]
11,[10,10],[8,10]
12,[10,10],[9,10]
13,[9,10],[10,10]
14,[8,10],[11,10]
15,[7,10],[10,10]
16,[6,10],[9,10]
17,[5,10],[8,10]
18,[4,10],[7,10]
19,[4,9],[6,10]
20,[4,10],[5,10]
21,[5,10],[4,10]
22,[6,10],[4,9]
23,[7,10],[4,10]
24,[8,10],[5,10]
25,[9,10],[6,10]
26,[10,10],[7,10]
27,[11,10],[8,10]
28,[10,10],[9,10]
29,[9,10],[10,10]
30,[8,10],[11,10]
31,[7,10],[10,10]
32,[6,10],[9,10]
33,[5,10],[8,10]
34,[4,10],[7,10]
35,[4,9],[6,10]
36,[4,9],[5,10]
37,[4,9],[4,10]
38,[4,9],[4,9]
