//Quantitative values
58	//Makespan
58	//Mission completion time hauler 1
54	//Mission completion time hauler 2
34	//Application execution time (in millisecond)
//Path to the final points
0,[5,12],[12,9]
1,[4,12],[11,9]
2,[3,12],[10,9]
3,[2,12],[9,9]
4,[1,12],[8,9]
5,[1,11],[8,10]
6,[1,10],[7,10]
7,[1,9],[7,9]
8,[1,8],[7,8]
9,[1,7],[7,7]
10,[1,6],[7,6]
11,[1,5],[7,5]
12,[1,4],[7,4]
13,[1,3],[6,4]
14,[1,2],[5,4]
15,[1,1],[4,4]
16,[1,2],[3,4]
17,[1,3],[2,4]
18,[1,4],[2,4]
19,[1,5],[1,4]
20,[1,6],[1,3]
21,[1,7],[1,2]
22,[1,8],[1,1]
23,[1,9],[1,2]
24,[1,10],[1,3]
25,[1,11],[1,4]
26,[1,10],[1,5]
27,[1,9],[1,6]
28,[1,8],[1,7]
29,[1,7],[2,7]
30,[1,6],[2,6]
31,[1,5],[2,5]
32,[1,4],[2,4]
33,[1,3],[3,4]
34,[1,2],[4,4]
35,[1,1],[5,4]
36,[1,2],[6,4]
37,[1,3],[7,4]
38,[1,4],[7,5]
39,[1,5],[7,6]
40,[1,6],[8,6]
41,[1,7],[9,6]
42,[2,7],[10,6]
43,[3,7],[9,6]
44,[2,7],[8,6]
45,[1,7],[7,6]
46,[1,6],[7,5]
47,[1,5],[7,4]
48,[1,4],[6,4]
49,[1,3],[5,4]
50,[1,2],[4,4]
51,[1,1],[3,4]
52,[1,2],[3,5]
53,[1,3],[3,6]
54,[1,4],[3,7]
55,[1,5],[3,7]
56,[1,6],[3,7]
57,[1,7],[3,7]
58,[2,7],[3,7]
