//Quantitative values
116	//Makespan
89	//Mission completion time hauler 1
116	//Mission completion time hauler 2
90	//Mission completion time hauler 3
110	//Application execution time (in millisecond)
//Path to the final points
0,[4,8],[11,2],[1,12]
1,[3,8],[10,2],[2,12]
2,[2,8],[10,3],[3,12]
3,[2,7],[9,3],[4,12]
4,[2,6],[8,3],[4,11]
5,[2,5],[7,3],[4,10]
6,[2,4],[7,4],[4,9]
7,[2,3],[7,5],[4,8]
8,[2,2],[7,6],[5,8]
9,[2,1],[7,7],[5,7]
10,[3,1],[7,6],[5,6]
11,[4,1],[7,5],[5,5]
12,[5,1],[7,4],[5,6]
13,[6,1],[7,3],[5,7]
14,[7,1],[7,2],[5,8]
15,[8,1],[7,1],[4,8]
16,[7,1],[8,1],[4,9]
17,[6,1],[8,2],[4,10]
18,[5,1],[8,3],[4,11]
19,[5,2],[8,4],[4,12]
20,[5,3],[8,5],[4,11]
21,[5,4],[9,5],[4,10]
22,[5,5],[9,6],[4,9]
23,[5,6],[9,7],[4,8]
24,[5,7],[8,7],[5,8]
25,[5,8],[7,7],[5,7]
26,[4,8],[6,7],[5,6]
27,[4,9],[5,7],[5,5]
28,[4,10],[5,8],[5,6]
29,[4,11],[4,8],[5,7]
30,[4,12],[4,9],[6,7]
31,[4,11],[4,10],[7,7]
32,[4,10],[4,11],[8,7]
33,[4,9],[4,12],[9,7]
34,[4,8],[5,12],[8,7]
35,[5,8],[6,12],[7,7]
36,[5,7],[7,12],[6,7]
37,[6,7],[8,12],[5,7]
38,[7,7],[9,12],[5,6]
39,[8,7],[10,12],[5,5]
40,[9,7],[9,12],[4,5]
41,[8,7],[8,12],[3,5]
42,[7,7],[7,12],[2,5]
43,[6,7],[6,12],[2,6]
44,[5,7],[5,12],[2,7]
45,[5,6],[4,12],[2,6]
46,[4,6],[3,12],[2,5]
47,[3,6],[3,11],[3,5]
48,[2,6],[3,10],[4,5]
49,[2,7],[2,10],[5,5]
50,[2,6],[2,9],[5,6]
51,[2,5],[2,8],[5,7]
52,[3,5],[2,7],[6,7]
53,[4,5],[2,8],[7,7]
54,[5,5],[2,9],[7,6]
55,[5,6],[2,10],[7,5]
56,[5,7],[3,10],[7,4]
57,[6,7],[3,11],[7,3]
58,[7,7],[3,12],[7,2]
59,[8,7],[4,12],[7,1]
60,[9,7],[5,12],[8,1]
61,[8,7],[6,12],[7,1]
62,[7,7],[7,12],[7,2]
63,[6,7],[8,12],[7,3]
64,[5,7],[9,12],[7,4]
65,[5,6],[10,12],[7,5]
66,[5,5],[9,12],[7,6]
67,[5,6],[8,12],[7,7]
68,[5,7],[7,12],[7,8]
69,[5,8],[6,12],[7,9]
70,[4,8],[5,12],[7,10]
71,[4,9],[4,12],[7,11]
72,[4,10],[3,12],[7,12]
73,[4,11],[3,11],[8,12]
74,[4,12],[3,10],[9,12]
75,[4,11],[2,10],[10,12]
76,[4,10],[2,9],[9,12]
77,[4,9],[2,8],[8,12]
78,[4,8],[2,7],[7,12]
79,[5,8],[2,6],[7,11]
80,[5,7],[3,6],[7,10]
81,[5,6],[4,6],[7,9]
82,[5,5],[5,6],[7,8]
83,[5,6],[5,7],[7,7]
84,[5,7],[6,7],[7,6]
85,[6,7],[7,7],[7,5]
86,[7,7],[8,7],[7,4]
87,[8,7],[7,7],[7,3]
88,[9,7],[6,7],[7,2]
89,[8,7],[5,7],[7,1]
90,[8,7],[5,8],[8,1]
91,[8,7],[4,8],[8,1]
92,[8,7],[4,9],[8,1]
93,[8,7],[4,10],[8,1]
94,[8,7],[4,11],[8,1]
95,[8,7],[4,12],[8,1]
96,[8,7],[5,12],[8,1]
97,[8,7],[6,12],[8,1]
98,[8,7],[7,12],[8,1]
99,[8,7],[8,12],[8,1]
100,[8,7],[9,12],[8,1]
101,[8,7],[10,12],[8,1]
102,[8,7],[9,12],[8,1]
103,[8,7],[8,12],[8,1]
104,[8,7],[7,12],[8,1]
105,[8,7],[6,12],[8,1]
106,[8,7],[5,12],[8,1]
107,[8,7],[4,12],[8,1]
108,[8,7],[4,11],[8,1]
109,[8,7],[4,10],[8,1]
110,[8,7],[4,9],[8,1]
111,[8,7],[4,8],[8,1]
112,[8,7],[5,8],[8,1]
113,[8,7],[5,7],[8,1]
114,[8,7],[6,7],[8,1]
115,[8,7],[7,7],[8,1]
116,[8,7],[8,7],[8,1]
