//Quantitative values
38	//Makespan
34	//Mission completion time hauler 1
38	//Mission completion time hauler 2
20	//Application execution time (in millisecond)
//Path to the final points
0,[8,3],[4,3]
1,[8,4],[4,4]
2,[8,5],[4,5]
3,[8,6],[4,6]
4,[9,6],[4,7]
5,[9,7],[4,8]
6,[9,8],[4,9]
7,[9,9],[4,10]
8,[9,10],[5,10]
9,[10,10],[6,10]
10,[11,10],[7,10]
11,[10,10],[8,10]
12,[9,10],[9,10]
13,[8,10],[10,10]
14,[7,10],[11,10]
15,[6,10],[10,10]
16,[5,10],[9,10]
17,[4,10],[8,10]
18,[4,9],[7,10]
19,[4,10],[6,10]
20,[5,10],[5,10]
21,[6,10],[4,10]
22,[7,10],[4,9]
23,[8,10],[4,10]
24,[9,10],[5,10]
25,[10,10],[6,10]
26,[11,10],[7,10]
27,[10,10],[8,10]
28,[9,10],[9,10]
29,[8,10],[10,10]
30,[7,10],[11,10]
31,[6,10],[10,10]
32,[5,10],[9,10]
33,[4,10],[8,10]
34,[4,9],[7,10]
35,[4,9],[6,10]
36,[4,9],[5,10]
37,[4,9],[4,10]
38,[4,9],[4,9]
